rsu_id,rsu_position_x,rsu_position_y,vehicle_id,vehicle_type,speed,edge_id,lane_id,lane_position,vehicles_ahead_count,same_direction_ahead,distance_to_traffic_light,next_traffic_light,traffic_light_state,edge_occupancy_percentage,battery_charge,battery_capacity,battery_percentage,sim_time,position,rsu_position,collection_timestamp
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.61432903,E3,E3_1,1243.445644,0,0,646.8,J1,rrrGGGrr,4.76,1349.46,3000,44.982,105,"(-204.15794889655032, 89.11008199920457)","(-194.59, 27.16)",2025-11-29T09:35:02Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.66016743,E3,E3_0,1010.89359,2,1,879.4,J1,rrrGGGrr,4.76,1370.34,3000,45.678,110,"(-209.71260390713508, 107.22275448826979)","(-194.59, 27.16)",2025-11-29T09:35:08Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,11.86239646,E3,E3_1,992.5766412,3,1,897.7,J1,rrrGGGrr,4.76,1387.73,3000,46.25766667,110,"(-206.72466203876488, 109.09169165234951)","(-194.59, 27.16)",2025-11-29T09:35:08Z
RSU_Dhormotola,-194.59,27.16,test_route2_dhormotola,EV,12.83090451,E3,E3_0,1289.121233,1,0,601.2,J1,rrrGGGrr,4.76,1355.93,3000,45.19766667,110,"(-206.86744851253303, 85.06204076807934)","(-194.59, 27.16)",2025-11-29T09:35:09Z
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.44444372,E3,E3_1,1311.385041,0,0,578.9,J1,rrrGGGrr,4.76,1345.02,3000,44.834,110,"(-203.46284132524252, 83.69873784532138)","(-194.59, 27.16)",2025-11-29T09:35:09Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.62143231,E3,E3_0,1078.885328,2,1,811.4,J1,rrrGGGrr,4.76,1365.01,3000,45.50033333,115,"(-209.01732051230965, 101.80724140369057)","(-194.59, 27.16)",2025-11-29T09:35:17Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,12.18272096,E3,E3_1,1052.608873,3,1,837.7,J1,rrrGGGrr,4.76,1381.09,3000,46.03633333,115,"(-206.1104549600461, 104.31014988544685)","(-194.59, 27.16)",2025-11-29T09:35:17Z
RSU_Dhormotola,-194.59,27.16,test_route2_dhormotola,EV,12.7391431,E3,E3_0,1353.088657,1,0,537.2,J1,rrrGGGrr,4.76,1351.45,3000,45.04833333,115,"(-206.21331774136775, 79.96706255252599)","(-194.59, 27.16)",2025-11-29T09:35:17Z
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.75272202,E3,E3_1,1379.816887,0,0,510.5,J1,rrrGGGrr,4.76,1337.18,3000,44.57266667,115,"(-202.76269536981334, 78.24817036603413)","(-194.59, 27.16)",2025-11-29T09:35:17Z
RSU_Dhormotola,-194.59,27.16,r1_v1,EV,11.37450869,E0,E0_0,1088.241632,3,1,1321.9,J3,GGgrrGGG,1.87,1385.44,3000,46.18133333,120,"(-146.28836910572898, 127.24635317310758)","(-194.59, 27.16)",2025-11-29T09:35:25Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.70198358,E3,E3_0,1146.712537,2,1,743.6,J1,rrrGGGrr,4.76,1358.88,3000,45.296,120,"(-208.3237195852153, 96.40483294102506)","(-194.59, 27.16)",2025-11-29T09:35:25Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,11.83192928,E3,E3_1,1112.728011,3,1,777.6,J1,rrrGGGrr,4.76,1378.56,3000,45.952,120,"(-205.49535870841098, 99.52168599474454)","(-194.59, 27.16)",2025-11-29T09:35:25Z
RSU_Dhormotola,-194.59,27.16,test_route2_dhormotola,EV,12.93801021,E3,E3_0,1417.044287,1,0,473.2,J1,rrrGGGrr,4.76,1345.08,3000,44.836,120,"(-205.55930758469543, 74.87302379471001)","(-194.59, 27.16)",2025-11-29T09:35:26Z
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.8231413,E3,E3_1,1448.444597,0,0,441.8,J1,rrrGGGrr,4.76,1330.97,3000,44.36566667,120,"(-202.06054547528512, 72.78200241773153)","(-194.59, 27.16)",2025-11-29T09:35:26Z
RSU_Dhormotola,-194.59,27.16,r1_v1,EV,11.43235004,E0,E0_0,1145.049279,3,1,1265.1,J3,GGgrrGGG,1.87,1380.87,3000,46.029,125,"(-143.05194549045524, 124.20457346985559)","(-194.59, 27.16)",2025-11-29T09:35:34Z
RSU_Dhormotola,-194.59,27.16,r1_v5,EV,13.69148269,E0,E0_1,1101.168351,4,2,1309,J3,GGgrrGGG,1.87,1360.65,3000,45.355,125,"(-143.30446444114705, 128.83356001287962)","(-194.59, 27.16)",2025-11-29T09:35:34Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.61527678,E3,E3_0,1214.716174,2,1,675.6,J1,rrryyyrr,4.76,1353.94,3000,45.13133333,125,"(-207.62831451175163, 90.98837211015658)","(-194.59, 27.16)",2025-11-29T09:35:34Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,12.24853378,E3,E3_1,1172.755121,3,1,717.5,J1,rrryyyrr,4.76,1371.36,3000,45.712,125,"(-204.88120403125387, 94.74055216885132)","(-194.59, 27.16)",2025-11-29T09:35:34Z
RSU_Dhormotola,-194.59,27.16,r3_v5,EV,13.35638765,E3,E3_1,894.0863718,8,4,996.2,J1,rrryyyrr,4.76,1381.38,3000,46.046,125,"(-207.73234439843907, 116.93639982569744)","(-194.59, 27.16)",2025-11-29T09:35:34Z
RSU_Dhormotola,-194.59,27.16,test_route2_dhormotola,EV,12.60742721,E3,E3_0,1480.888043,1,0,409.4,J1,rrryyyrr,4.76,1342.19,3000,44.73966667,125,"(-204.90644144603576, 69.78789571211288)","(-194.59, 27.16)",2025-11-29T09:35:34Z
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.43985046,E3,E3_1,1516.321002,0,0,374,J1,rrryyyrr,4.76,1328.17,3000,44.27233333,125,"(-201.36608239133898, 67.3756755346431)","(-194.59, 27.16)",2025-11-29T09:35:34Z
RSU_Dhormotola,-194.59,27.16,r1_v1,EV,11.10864686,E0,E0_0,1201.263334,3,1,1208.9,J3,GGgrrGGG,1.87,1378.66,3000,45.95533333,130,"(-139.83478822647876, 121.21012153287829)","(-194.59, 27.16)",2025-11-29T09:35:43Z
RSU_Dhormotola,-194.59,27.16,r1_v5,EV,13.2656877,E0,E0_1,1168.25249,4,2,1241.9,J3,GGgrrGGG,1.87,1358.26,3000,45.27533333,130,"(-139.4941963904153, 125.26461093395707)","(-194.59, 27.16)",2025-11-29T09:35:43Z
RSU_Dhormotola,-194.59,27.16,r2_v2,EV,13.68023172,E3,E3_0,1283.39309,2,1,606.9,J1,rrrrrrrr,4.76,1347.78,3000,44.926,130,"(-206.92602448517033, 85.51828486742095)","(-194.59, 27.16)",2025-11-29T09:35:43Z
RSU_Dhormotola,-194.59,27.16,r3_v1,EV,11.93061518,E3,E3_1,1233.307389,3,1,657,J1,rrrrrrrr,4.76,1368.65,3000,45.62166667,130,"(-204.2616763076693, 89.91758970437891)","(-194.59, 27.16)",2025-11-29T09:35:43Z
RSU_Dhormotola,-194.59,27.16,r3_v5,EV,13.42972593,E3,E3_1,960.6779336,8,4,929.6,J1,rrrrrrrr,4.76,1375.44,3000,45.848,130,"(-207.05102691836882, 111.63241017733246)","(-194.59, 27.16)",2025-11-29T09:35:43Z
RSU_Dhormotola,-194.59,27.16,test_route2_dhormotola,EV,12.76666082,E3,E3_0,1545.149188,1,0,345.1,J1,rrrrrrrr,4.76,1336,3000,44.53333333,130,"(-204.2493070861297, 64.66952275673492)","(-194.59, 27.16)",2025-11-29T09:35:43Z
RSU_Dhormotola,-194.59,27.16,test_route3_chachra,EV,13.74973722,E3,E3_1,1585.014941,0,0,305.3,J1,rrrrrrrr,4.76,1320.28,3000,44.00933333,130,"(-200.66325488362568, 61.9042324342649)","(-194.59, 27.16)",2025-11-29T09:35:43Z
RSU_Dhormotola,-194.59,27.16,r1_v1,EV,11.19252719,E0,E0_0,1257.774792,3,1,1152.3,J3,GGgrrGGG,1.87,1373.95,3000,45.79833333,135,"(-136.58337310023938, 118.21844016219099)","(-194.59, 27.16)",2025-11-29T09:35:51Z
RSU_Dhormotola,-194.59,27.16,r1_v5,EV,12.69717597,E0,E0_1,1233.126945,4,2,1177,J3,GGgrrGGG,1.87,1356.88,3000,45.22933333,135,"(-135.78778027210754, 121.83647982341755)","(-194.59, 27.16)",2025-11-29T09:35:51Z
