vehicle,route_name,path,edges,expected_distance_km,actual_distance_m,actual_distance_km,battery_consumed_wh,battery_consumed_percent,time_s,time_min,avg_speed_ms,avg_speed_kmh,efficiency_wh_per_km,initial_battery,final_battery,completed
test_route1_direct,Route 1: Direct,Palbari → Doratana,E0,2.41,187.1260745758885,0.1871260745758885,245.44000000000005,16.36266666666667,184,3.066666666666667,1.0169895357385246,3.6611623286586887,1311.6290744423352,1500.0,1254.56,True
test_route2_dhormotola,Route 2: Via Dhormotola,Palbari → Dhormotola → Doratana,E3 E9,3.42,296.0380364373917,0.29603803643739174,316.6099999999999,21.10733333333333,307,5.116666666666666,0.964293278297693,3.4714558018716946,1069.4909472113015,1500.0,1183.39,True
test_route4_newmarket,Route 4: Via New Market,Palbari → New Market → Doratana,E2 -E1,3.62,305.89298804192066,0.30589298804192067,347.47,23.16466666666667,278,4.633333333333334,1.100334489359427,3.961204161693937,1135.9201210339006,1500.0,1152.53,True
test_route5_monihar,Route 5: Via New Market & Monihar,Palbari → New Market → Monihar → Doratana,E2 -E8 E7,5.7,499.04392847881786,0.49904392847881784,523.77,34.918,433,7.216666666666667,1.1525263937155148,4.149095017375854,1049.5468837714386,1500.0,976.23,True
test_route3_chachra,Route 3: Via Dhormotola & Chachra,Palbari → Dhormotola → Chachra → Doratana,E3 E3.189 -E4,6.96,656.1620298611754,0.6561620298611753,630.91,42.06066666666666,570,9.5,1.1511614558967989,4.144181241228476,961.5155575726959,1500.0,869.09,True
