vehicle,route_name,path,edges,expected_distance_km,actual_distance_m,actual_distance_km,battery_consumed_wh,battery_consumed_percent,time_s,time_min,avg_speed_ms,avg_speed_kmh,efficiency_wh_per_km,initial_battery,final_battery,completed
test_route1_direct,Route 1: Direct,Palbari → Doratana,E0,2.41,2397.199106292318,2.397199106292318,246.20000000000005,16.413333333333334,184,3.066666666666667,13.02825601245825,46.9017216448497,102.70319196839299,1500.0,1253.8,True
test_route2_dhormotola,Route 2: Via Dhormotola,Palbari → Dhormotola → Doratana,E3 E9,3.42,3428.3865966014246,3.4283865966014244,315.1300000000001,21.008666666666674,282,4.7,12.157399278728455,43.76663740342244,91.91787189705792,1500.0,1184.87,True
test_route4_newmarket,Route 4: Via New Market,Palbari → New Market → Doratana,E2 -E1,3.62,3621.5166714473617,3.6215166714473614,349.71000000000004,23.314,278,4.633333333333334,13.027038386501301,46.897338191404685,96.56451473968676,1500.0,1150.29,True
test_route5_monihar,Route 5: Via New Market & Monihar,Palbari → New Market → Monihar → Doratana,E2 -E8 E7,5.7,5719.813718487683,5.719813718487683,523.15,34.876666666666665,432,7.2,13.240309533536303,47.665114320730694,91.4627688501577,1500.0,976.85,True
test_route3_chachra,Route 3: Via Dhormotola & Chachra,Palbari → Dhormotola → Chachra → Doratana,E3 E3.189 -E4,6.96,6994.178688567016,6.9941786885670165,630.5,42.03333333333333,589,9.816666666666666,11.874666703848924,42.74880013385613,90.14639574917385,1500.0,869.5,True
