rsu_id,rsu_position_x,rsu_position_y,vehicle_id,vehicle_type,speed,edge_id,lane_id,lane_position,vehicles_ahead_count,same_direction_ahead,distance_to_traffic_light,next_traffic_light,traffic_light_state,time_to_red_light,edge_occupancy_percentage,battery_charge,battery_capacity,battery_percentage,sim_time,position,rsu_position,collection_timestamp
RSU_Chachra,-165.47,-199.59,R4_Easybike_ER-02B,EV,12.394066562565648,E4,E4_0,1889.8947876458042,1,1,900.6,J1,GGgrrGGG,60.0,2.69,1311.84,3000.0,43.727999999999994,190.0,"(-114.45267665471602, -111.7852012007787)","(-165.47, -199.59)",2025-12-01T20:50:52Z
RSU_Chachra,-165.47,-199.59,R5_Default_EV,EV,12.137516486943937,E4,E4_0,1467.6975982598265,4,4,1322.8,J1,GGgrrGGG,60.0,2.69,17349.48,35000.0,49.569942857142856,190.0,"(-99.46051171394114, -78.42265770375059)","(-165.47, -199.59)",2025-12-01T20:50:52Z
RSU_Chachra,-165.47,-199.59,R5_Easybike_ER-02B,EV,13.88994050687179,E4,E4_0,1813.3440152512019,2,2,977.1,J1,GGgrrGGG,60.0,2.69,1300.34,3000.0,43.34466666666666,190.0,"(-111.64840016419527, -105.77508671628303)","(-165.47, -199.59)",2025-12-01T20:50:52Z
RSU_Chachra,-165.47,-199.59,R4_Default_EV,EV,12.537366267558218,E4,E4_0,1828.811914640434,3,3,961.6,J1,GGgrrGGG,55.0,2.69,17315.13,35000.0,49.4718,195.0,"(-112.20886563451946, -106.99236327499054)","(-165.47, -199.59)",2025-12-01T20:51:05Z
RSU_Chachra,-165.47,-199.59,R4_Easybike_ER-02B,EV,12.713249091097758,E4,E4_0,1952.6061229646273,1,1,837.8,J1,GGgrrGGG,55.0,2.69,1304.83,3000.0,43.49433333333333,195.0,"(-116.79709990973586, -116.68650208604464)","(-165.47, -199.59)",2025-12-01T20:51:05Z
RSU_Chachra,-165.47,-199.59,R5_Default_EV,EV,11.879410624291054,E4,E4_0,1527.9459000669015,4,4,1262.5,J1,GGgrrGGG,55.0,2.69,17346.51,35000.0,49.561457142857144,195.0,"(-101.52978945840697, -83.21474398407055)","(-165.47, -199.59)",2025-12-01T20:51:05Z
RSU_Chachra,-165.47,-199.59,R5_Easybike_ER-02B,EV,13.433214717754163,E4,E4_0,1880.7748359378286,2,2,909.7,J1,GGgrrGGG,55.0,2.69,1298.04,3000.0,43.268,195.0,"(-114.11638696517674, -111.07020661520545)","(-165.47, -199.59)",2025-12-01T20:51:05Z
RSU_Chachra,-165.47,-199.59,R4_Default_EV,EV,12.59691880506839,E4,E4_0,1892.347069631444,3,3,898.1,J1,GGgrrGGG,50.0,2.69,17309.72,35000.0,49.45634285714286,200.0,"(-114.54349346790883, -111.97727354132442)","(-165.47, -199.59)",2025-12-01T20:51:17Z
RSU_Chachra,-165.47,-199.59,R4_Easybike_ER-02B,EV,12.502027465767831,E4,E4_0,2015.893323925618,1,1,774.6,J1,GGgrrGGG,50.0,2.69,1301.24,3000.0,43.37466666666667,200.0,"(-119.18398418892133, -121.62269493188454)","(-165.47, -199.59)",2025-12-01T20:51:17Z
RSU_Chachra,-165.47,-199.59,R5_Default_EV,EV,11.933249881161615,E4,E4_0,1587.6746750023567,4,4,1202.8,J1,GGgrrGGG,50.0,2.69,17341.66,35000.0,49.547599999999996,200.0,"(-103.60298491166031, -87.95605726818464)","(-165.47, -199.59)",2025-12-01T20:51:17Z
RSU_Chachra,-165.47,-199.59,R5_Easybike_ER-02B,EV,13.568400902999565,E4,E4_0,1949.1014859018012,2,2,841.3,J1,GGgrrGGG,50.0,2.69,1291.43,3000.0,43.047666666666665,200.0,"(-116.66492717205874, -116.41314483312149)","(-165.47, -199.59)",2025-12-01T20:51:17Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.477380176517181,E3,E3_0,874.4244562962828,0,0,1015.9,J1,rrrrrrrr,0.0,5.95,1381.28,3000.0,46.04266666666666,75.0,"(-211.10813702720912, 118.09246305310943)","(-194.59, 27.16)",2025-12-01T20:47:13Z
