vehicle,route_name,path,edges,expected_distance_km,actual_distance_m,actual_distance_km,battery_consumed_wh,battery_consumed_percent,time_s,time_min,avg_speed_ms,avg_speed_kmh,efficiency_wh_per_km,initial_battery,final_battery,completed
test_route1_direct,Route 1: Direct,Palbari → Doratana,E0,2.41,2406.463758433199,2.406463758433199,247.01999999999998,16.468,185,3.0833333333333335,13.007912207747022,46.82848394788928,102.64854358780363,1500.0,1252.98,True
test_route2_dhormotola,Route 2: Via Dhormotola,Palbari → Dhormotola → Doratana,E3 E9,3.42,3424.374116712865,3.424374116712865,316.51,21.100666666666665,281,4.683333333333334,12.186384756985285,43.87098512514703,92.42856919612078,1500.0,1183.49,True
test_route4_newmarket,Route 4: Via New Market,Palbari → New Market → Doratana,E2 -E1,3.62,3622.8910448236147,3.6228910448236147,349.6600000000001,23.31066666666667,278,4.633333333333334,13.031982175624513,46.91513583224825,96.51408106782404,1500.0,1150.34,True
test_route5_monihar,Route 5: Via New Market & Monihar,Palbari → New Market → Monihar → Doratana,E2 -E8 E7,5.7,5729.6569581578715,5.729656958157872,527.06,35.13733333333333,497,8.283333333333333,11.528484825267347,41.50254537096245,91.98805510503962,1500.0,972.94,True
test_route3_chachra,Route 3: Via Dhormotola & Chachra,Palbari → Dhormotola → Chachra → Doratana,E3 E3.189 -E4,6.96,6999.770309826594,6.9997703098265935,630.34,42.022666666666666,569,9.483333333333333,12.301881036602097,44.28677173176755,90.0515262786695,1500.0,869.66,True
