vehicle,route_name,path,edges,expected_distance_km,actual_distance_m,actual_distance_km,battery_consumed_wh,battery_consumed_percent,time_s,time_min,avg_speed_ms,avg_speed_kmh,efficiency_wh_per_km,initial_battery,final_battery,completed
test_route1_direct,Route 1: Direct,Palbari → Doratana,E0,2.41,2397.199106292318,2.397199106292318,246.20000000000005,16.413333333333334,184,3.066666666666667,13.02825601245825,46.9017216448497,102.70319196839299,1500.0,1253.8,True
test_route2_dhormotola,Route 2: Via Dhormotola,Palbari → Dhormotola → Doratana,E3 E9,3.42,3428.813686227627,3.428813686227627,316.81999999999994,21.12133333333333,282,4.7,12.158913780949032,43.77208961141652,92.39930453863902,1500.0,1183.18,True
test_route4_newmarket,Route 4: Via New Market,Palbari → New Market → Doratana,E2 -E1,3.62,3621.2496550571395,3.6212496550571394,350.1300000000001,23.342000000000006,278,4.633333333333334,13.02607789588899,46.893880425200365,96.68761708020803,1500.0,1149.87,True
test_route5_monihar,Route 5: Via New Market & Monihar,Palbari → New Market → Monihar → Doratana,E2 -E8 E7,5.7,5724.633708420974,5.724633708420973,526.76,35.117333333333335,496,8.266666666666667,11.541600218590672,41.54976078692642,92.01636765425404,1500.0,973.24,True
test_route3_chachra,Route 3: Via Dhormotola & Chachra,Palbari → Dhormotola → Chachra → Doratana,E3 E3.189 -E4,6.96,6993.905121176412,6.993905121176412,631.21,42.08066666666667,569,9.483333333333333,12.291573147937454,44.24966333257483,90.2514387975894,1500.0,868.79,True
