vehicle,route_name,path,edges,expected_distance_km,actual_distance_m,actual_distance_km,battery_consumed_wh,battery_consumed_percent,time_s,time_min,avg_speed_ms,avg_speed_kmh,efficiency_wh_per_km,initial_battery,final_battery,completed
test_route1_direct,Route 1: Direct,Palbari → Doratana,E0,2.41,188.14967893872634,0.18814967893872633,247.01999999999998,16.468,185,3.0833333333333335,1.017025291560683,3.661291049618459,1312.89089300251,1500.0,1252.98,True
test_route2_dhormotola,Route 2: Via Dhormotola,Palbari → Dhormotola → Doratana,E3 E9,3.42,289.1698721795431,0.2891698721795431,316.51,21.100666666666665,281,4.683333333333334,1.0290742782190148,3.7046674015884533,1094.5469443769773,1500.0,1183.49,True
test_route4_newmarket,Route 4: Via New Market,Palbari → New Market → Doratana,E2 -E1,3.62,305.99745505368776,0.30599745505368775,349.6600000000001,23.31066666666667,278,4.633333333333334,1.1007102699772942,3.962556971918259,1142.6892421005648,1500.0,1150.34,True
test_route5_monihar,Route 5: Via New Market & Monihar,Palbari → New Market → Monihar → Doratana,E2 -E8 E7,5.7,510.1199506782213,0.5101199506782212,527.06,35.13733333333333,497,8.283333333333333,1.026398291103061,3.695033847971019,1033.2079725548008,1500.0,972.94,True
test_route3_chachra,Route 3: Via Dhormotola & Chachra,Palbari → Dhormotola → Chachra → Doratana,E3 E3.189 -E4,6.96,647.4087731932881,0.647408773193288,630.34,42.022666666666666,569,9.483333333333333,1.1378010073695748,4.096083626530469,973.6352457673723,1500.0,869.66,True
