id,ts_utc,rsu_id,rsu_position_x,rsu_position_y,vehicle_id,speed,battery_charge,battery_capacity,battery_percentage,sim_time,collection_timestamp,rsu_received_at
23,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Small_Easybike_V12,7.685338312615641,978.74,2000.0,48.937000000000005,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
61,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Easybike_ER-02B,13.47452532404568,1440.65,3000.0,48.02166666666667,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
62,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Electric_Rickshaw_V8,7.501128185628914,1231.28,2500.0,49.2512,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
63,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Small_Easybike_V12,7.4689338780893015,979.21,2000.0,48.9605,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
104,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Easybike_ER-02B,13.68119128860999,1438.75,3000.0,47.95833333333333,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
105,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Electric_Rickshaw_V8,7.634672510409728,1230.91,2500.0,49.2364,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
106,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Small_Easybike_V12,7.499398479093798,979.7,2000.0,48.985,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
107,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Easybike_ER-02B,13.65780646223575,1438.99,3000.0,47.96633333333333,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
108,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Electric_Rickshaw_V8,7.386248430209235,1231.66,2500.0,49.266400000000004,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
109,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Small_Easybike_V12,7.694942089118995,978.66,2000.0,48.933,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
110,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Easybike_ER-02B,6.401501981075853,1487.39,3000.0,49.579666666666675,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
111,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Electric_Rickshaw_V8,0.857961516128853,1249.73,2500.0,49.9892,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
112,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Small_Easybike_V12,3.5266298016067594,996.12,2000.0,49.806,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
113,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Easybike_ER-02B,6.95341370508679,1485.05,3000.0,49.501666666666665,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
114,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Electric_Rickshaw_V8,0.5860145738115534,1249.85,2500.0,49.99399999999999,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
115,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Small_Easybike_V12,3.9749586125835776,995.1,2000.0,49.755,21.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
24,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Easybike_ER-02B,13.541670003533364,1429.21,3000.0,47.64033333333334,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
25,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Electric_Rickshaw_V8,7.301060881670565,1227.55,2500.0,49.102,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
26,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Small_Easybike_V12,7.280200431211852,975.52,2000.0,48.775999999999996,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
27,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Easybike_ER-02B,8.996158270551266,1470.91,3000.0,49.03033333333334,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
28,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Electric_Rickshaw_V8,6.976596551248804,1234.8,2500.0,49.391999999999996,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
29,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Small_Easybike_V12,7.754155717529357,979.52,2000.0,48.976,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
30,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Easybike_ER-02B,11.192965089624517,1448.71,3000.0,48.290333333333336,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
31,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Electric_Rickshaw_V8,7.616748799076304,1226.04,2500.0,49.041599999999995,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
32,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Small_Easybike_V12,7.412153813960031,974.89,2000.0,48.7445,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
33,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_9_Easybike_ER-02B,4.35129622137174,1494.0,3000.0,49.8,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
34,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_9_Small_Easybike_V12,1.5414008549414575,999.18,2000.0,49.958999999999996,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
64,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Easybike_ER-02B,13.775948892440647,1427.34,3000.0,47.577999999999996,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
65,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Electric_Rickshaw_V8,7.418948431471363,1226.77,2500.0,49.0708,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
