vehicle,route_name,path,edges,expected_distance_km,actual_distance_m,actual_distance_km,battery_consumed_wh,battery_consumed_percent,time_s,time_min,avg_speed_ms,avg_speed_kmh,efficiency_wh_per_km,initial_battery,final_battery,completed
test_route1_direct,Route 1: Direct,Palbari → Doratana,E0,2.41,2393.397762819527,2.393397762819527,244.94000000000005,16.331619760099752,183,3.05,13.078676299560257,47.08323467841693,102.33986335453496,1499.79,1254.85,True
test_route2_dhormotola,Route 2: Via Dhormotola,Palbari → Dhormotola → Doratana,E3 E9,3.42,3427.830229346429,3.427830229346429,316.28999999999996,21.085999999999995,282,4.7,12.155426345200103,43.75953484272037,92.27119747418347,1500.0,1183.71,True
test_route4_newmarket,Route 4: Via New Market,Palbari → New Market → Doratana,E2 -E1,3.62,3622.7394294767164,3.6227394294767166,348.78999999999996,23.252666666666663,278,4.633333333333334,13.031436796678836,46.91317246804381,96.27797052198717,1500.0,1151.21,True
test_route5_monihar,Route 5: Via New Market & Monihar,Palbari → New Market → Monihar → Doratana,E2 -E8 E7,5.7,5726.062804725172,5.7260628047251725,526.64,35.10933333333333,492,8.2,11.638339033994253,41.89802052237931,91.9724456332219,1500.0,973.36,True
test_route3_chachra,Route 3: Via Dhormotola & Chachra,Palbari → Dhormotola → Chachra → Doratana,E3 E3.189 -E4,6.96,6995.792049523561,6.995792049523561,631.47,42.098,567,9.45,12.33825758293397,44.41772729856229,90.26426107720074,1500.0,868.53,True
